Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Year,Country,Match
9,BUL,4,L,l,1,0,2,0,1994,Bulgaria,Mexico vs. Bulgaria
9,MEX,9,R,R,1,0,3,0,1994,Mexico,Mexico vs. Bulgaria
9,BUL,2,R,R,1,1,4,0,1994,Bulgaria,Mexico vs. Bulgaria
9,MEX,7,R,L,1,0,5,0,1994,Mexico,Mexico vs. Bulgaria
9,BUL,1,R,L,1,1,6,0,1994,Bulgaria,Mexico vs. Bulgaria
9,MEX,9,R,C,1,1,7,0,1994,Mexico,Mexico vs. Bulgaria
9,BUL,3,R,R,1,1,8,1,1994,Bulgaria,Mexico vs. Bulgaria
9,MEX,,,,,,9,,1994,Mexico,Mexico vs. Bulgaria
9,BUL,,,,,,10,,1994,Bulgaria,Mexico vs. Bulgaria
10,SWE,2,R,R,0,0,1,0,1994,Sweden,Sweden vs. Romania
10,RUM,9,R,R,1,1,2,0,1994,Romania,Sweden vs. Romania
10,SWE,6,R,R,1,1,3,0,1994,Sweden,Sweden vs. Romania
10,RUM,9,L,L,1,1,4,0,1994,Romania,Sweden vs. Romania
10,SWE,7,R,C,1,1,5,0,1994,Sweden,Sweden vs. Romania
10,RUM,4,R,R,1,1,6,0,1994,Romania,Sweden vs. Romania
10,SWE,7,R,R,1,1,7,0,1994,Sweden,Sweden vs. Romania
10,RUM,5,R,R,1,0,8,0,1994,Romania,Sweden vs. Romania
10,SWE,2,R,L,1,1,9,0,1994,Sweden,Sweden vs. Romania
10,RUM,4,R,R,1,1,10,1,1994,Romania,Sweden vs. Romania
10,SWE,9,R,L,1,1,11,0,1994,Sweden,Sweden vs. Romania
10,RUM,9,R,R,1,0,12,1,1994,Romania,Sweden vs. Romania
11,ITA,2,R,R,0,0,1,0,1994,Italy,Italy vs. Brazil
11,BRA,4,R,L,1,0,2,0,1994,Brazil,Italy vs. Brazil
11,ITA,4,R,R,1,1,3,0,1994,Italy,Italy vs. Brazil
11,BRA,4,R,C,1,1,4,0,1994,Brazil,Italy vs. Brazil
11,ITA,5,L,L,1,1,5,0,1994,Italy,Italy vs. Brazil
11,BRA,9,L,L,1,1,6,0,1994,Brazil,Italy vs. Brazil
11,ITA,6,R,R,1,0,7,0,1994,Italy,Italy vs. Brazil
