Year,Match,Country,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination
1994,Sweden vs. Romania,Romania,9,R,R,1,0,12,1
1994,Italy vs. Brazil,Italy,2,R,R,0,0,1,0
1994,Italy vs. Brazil,Brazil,4,R,L,1,0,2,0
1994,Italy vs. Brazil,Italy,4,R,R,1,1,3,0
1994,Italy vs. Brazil,Brazil,4,R,C,1,1,4,0
1994,Italy vs. Brazil,Italy,5,L,L,1,1,5,0
1994,Italy vs. Brazil,Brazil,9,L,L,1,1,6,0
1994,Italy vs. Brazil,Italy,6,R,R,1,0,7,0
1994,Italy vs. Brazil,Brazil,6,R,L,1,1,8,0
1994,Italy vs. Brazil,Italy,2,R,C,0,0,9,1
1998,Argentina vs. England,Argentina,9,L,R,1,1,1,0
1998,Argentina vs. England,England,1,R,L,1,1,2,0
1998,Argentina vs. England,Argentina,6,R,R,1,0,3,0
1998,Argentina vs. England,England,6,R,R,1,0,4,0
1998,Argentina vs. England,Argentina,1,R,L,1,1,5,0
1998,Argentina vs. England,England,1,R,L,1,1,6,0
1998,Argentina vs. England,Argentina,7,R,L,1,1,7,0
1998,Argentina vs. England,England,1,R,R,1,1,8,0
1998,Argentina vs. England,Argentina,9,R,C,1,1,9,0
1998,Argentina vs. England,England,5,R,L,1,0,10,1
1998,France vs. Italy,France,7,R,R,1,1,1,0
1998,France vs. Italy,Italy,9,R,C,1,1,2,0
1998,France vs. Italy,France,7,L,L,1,0,3,0
1998,France vs. Italy,Italy,7,R,L,1,0,4,0
1998,France vs. Italy,France,7,R,R,1,1,5,0
1998,France vs. Italy,Italy,4,R,L,1,1,6,0
1998,France vs. Italy,France,9,R,R,1,1,7,0
1998,France vs. Italy,Italy,3,L,R,1,1,8,0
1998,France vs. Italy,France,5,R,R,1,1,9,0
1998,France vs. Italy,Italy,2,R,R,0,0,10,0
1998,Brazil vs. Netherlands,Brazil,2,R,R,1,1,1,0
1998,Brazil vs. Netherlands,Netherlands,4,L,L,1,1,2,0
1998,Brazil vs. Netherlands,Brazil,6,L,L,1,1,3,0
1998,Brazil vs. Netherlands,Netherlands,9,R,R,1,1,4,0
1998,Brazil vs. Netherlands,Brazil,5,R,R,1,1,5,0
1998,Brazil vs. Netherlands,Netherlands,6,L,R,1,0,6,0
1998,Brazil vs. Netherlands,Brazil,1,R,L,1,1,7,0
1998,Brazil vs. Netherlands,Netherlands,7,R,L,1,0,8,1
2002,Ireland vs. Spain,Ireland,2,R,R,1,1,1,0
2002,Ireland vs. Spain,Spain,4,R,R,1,1,2,0
2002,Ireland vs. Spain,Ireland,2,R,R,0,0,3,0
2002,Ireland vs. Spain,Spain,6,R,C,1,1,4,0
2002,Ireland vs. Spain,Ireland,5,R,C,1,0,5,0
2002,Ireland vs. Spain,Spain,9,L,C,0,0,6,0
2002,Ireland vs. Spain,Ireland,6,L,R,1,0,7,0
2002,Ireland vs. Spain,Spain,7,R,R,0,0,8,1
2002,Ireland vs. Spain,Ireland,3,R,C,1,1,9,1
2002,Ireland vs. Spain,Spain,8,R,L,1,1,10,1
2002,South Korea vs. Spain,South Korea,9,R,R,1,1,1,0
2002,South Korea vs. Spain,Spain,5,R,R,1,1,2,0
2002,South Korea vs. Spain,South Korea,6,R,C,1,1,3,0
2002,South Korea vs. Spain,Spain,7,R,R,1,1,4,0
2002,South Korea vs. Spain,South Korea,6,R,L,1,1,5,0
2002,South Korea vs. Spain,Spain,3,R,C,1,1,6,0
2002,South Korea vs. Spain,South Korea,8,R,L,1,1,7,0
2002,South Korea vs. Spain,Spain,5,R,C,1,0,8,0
2002,South Korea vs. Spain,South Korea,3,R,L,1,1,9,1
2006,Ukraine vs. Switzerland,Ukraine,7,R,L,1,0,1,0
2006,Ukraine vs. Switzerland,Switzerland,7,L,L,1,0,2,0
2006,Ukraine vs. Switzerland,Ukraine,5,R,L,1,1,3,0
2006,Ukraine vs. Switzerland,Switzerland,1,R,L,0,0,4,0
2006,Ukraine vs. Switzerland,Ukraine,6,R,L,1,1,5,0
2006,Ukraine vs. Switzerland,Switzerland,2,R,R,1,0,6,0
2006,Ukraine vs. Switzerland,Ukraine,7,R,R,1,1,7,1
2006,Germany vs. Argentina,Germany,6,R,R,1,1,1,0
2006,Germany vs. Argentina,Argentina,1,R,L,1,1,2,0
2006,Germany vs. Argentina,Germany,4,R,C,1,1,3,0
2006,Germany vs. Argentina,Argentina,9,R,R,1,0,4,0
2006,Germany vs. Argentina,Germany,9,L,L,1,1,5,0
2006,Germany vs. Argentina,Argentina,7,R,L,1,1,6,0
2006,Germany vs. Argentina,Germany,9,R,L,1,1,7,0
2006,Germany vs. Argentina,Argentina,9,L,R,1,0,8,1
2006,Portugal vs. England,Portugal,7,R,L,1,1,1,0
2006,Portugal vs. England,England,8,R,C,1,0,2,0
2006,Portugal vs. England,Portugal,4,L,R,0,0,3,0
2006,Portugal vs. England,England,7,R,L,1,1,4,0
2006,Portugal vs. England,Portugal,7,R,L,0,0,5,0
2006,Portugal vs. England,England,5,R,R,1,0,6,0
2006,Portugal vs. England,Portugal,4,R,C,1,1,7,0
2006,Portugal vs. England,England,7,R,L,1,0,8,0
2006,Portugal vs. England,Portugal,6,R,L,1,1,9,1
2006,Italy vs. France,Italy,2,R,L,1,1,1,0
2006,Italy vs. France,France,9,R,L,1,1,2,0
2006,Italy vs. France,Italy,9,L,R,1,1,3,0
2006,Italy vs. France,France,1,R,R,0,0,4,0
2006,Italy vs. France,Italy,1,R,L,1,1,5,0
2006,Italy vs. France,France,7,L,R,1,1,6,0
2006,Italy vs. France,Italy,4,R,R,1,1,7,0
2006,Italy vs. France,France,3,R,L,1,1,8,0
2006,Italy vs. France,Italy,3,L,L,1,1,9,1
2010,Paraguay vs. Japan,Paraguay,7,R,L,1,1,1,0
2010,Paraguay vs. Japan,Japan,6,R,L,1,1,2,0
2010,Paraguay vs. Japan,Paraguay,9,R,R,1,1,3,0
2010,Paraguay vs. Japan,Japan,4,R,L,1,1,4,0
2010,Paraguay vs. Japan,Paraguay,9,R,L,1,1,5,0
2010,Paraguay vs. Japan,Japan,1,R,L,0,0,6,0
2010,Paraguay vs. Japan,Paraguay,2,R,L,1,1,7,0
2010,Paraguay vs. Japan,Japan,8,L,R,1,1,8,1
2010,Paraguay vs. Japan,Paraguay,7,L,R,1,1,9,1
2010,Uruguay vs. Ghana,Uruguay,6,R,L,1,1,1,0
2010,Uruguay vs. Ghana,Ghana,3,R,R,1,1,2,0
2010,Uruguay vs. Ghana,Uruguay,1,R,L,1,1,3,0
2010,Uruguay vs. Ghana,Ghana,1,R,L,1,1,4,0
2010,Uruguay vs. Ghana,Uruguay,8,R,C,1,1,5,0
2010,Uruguay vs. Ghana,Ghana,8,R,R,1,0,6,0
2010,Uruguay vs. Ghana,Uruguay,2,R,L,0,0,7,0
2010,Uruguay vs. Ghana,Ghana,9,R,R,1,0,8,0
2010,Uruguay vs. Ghana,Uruguay,5,L,L,1,1,9,1
2014,Brazil vs. Chile,Brazil,4,R,R,1,1,1,0
2014,Brazil vs. Chile,Chile,5,R,C,1,0,2,0
2014,Brazil vs. Chile,Brazil,7,R,C,0,0,3,0
2014,Brazil vs. Chile,Chile,7,R,L,1,0,4,0
2014,Brazil vs. Chile,Brazil,6,L,R,1,1,5,0
2014,Brazil vs. Chile,Chile,3,R,C,1,1,6,0
2014,Brazil vs. Chile,Brazil,8,L,R,1,0,7,0
2014,Brazil vs. Chile,Chile,8,R,R,1,1,8,0
2014,Brazil vs. Chile,Brazil,7,R,C,1,1,9,0
